"YEAR","SAMPLE","PERNUM","SEX","AGE","RACE","RACED","EDUC","EDUCD","INCTOT","US2018A_SEX","US2018A_PINCP"
2018,201801,1,2,38,1,100,6,64,16100,"2","0016100"
2018,201801,1,2,38,2,200,5,50,14200,"2","0014200"
2018,201801,1,2,55,2,200,6,63,0,"2","0000000"
2018,201801,2,1,47,2,200,4,40,4300,"1","0004300"
2018,201801,3,1,13,2,200,2,26,9999999,"1","BBBBBBB"
2018,201801,4,1,22,2,200,6,63,13000,"1","0013000"
2018,201801,1,2,18,1,100,6,63,0,"2","0000000"
2018,201801,1,1,42,2,200,5,50,22000,"1","0022000"
2018,201801,2,2,40,2,200,7,71,26000,"2","0026000"
2018,201801,1,1,71,1,100,10,101,20300,"1","0020300"
2018,201801,2,2,70,1,100,7,71,14100,"2","0014100"
2018,201801,1,1,71,1,100,11,115,196000,"1","0196000"
2018,201801,2,2,73,1,100,7,71,119000,"2","0119000"
2018,201801,1,2,36,1,100,6,63,0,"2","0000000"
2018,201801,2,2,10,1,100,1,17,9999999,"2","BBBBBBB"
2018,201801,3,1,6,1,100,1,12,9999999,"1","BBBBBBB"
2018,201801,1,2,40,2,200,7,71,1530,"2","0001530"
2018,201801,2,1,61,2,200,7,71,30000,"1","0030000"
2018,201801,3,2,9,2,200,1,16,9999999,"2","BBBBBBB"
2018,201801,4,1,6,2,200,1,12,9999999,"1","BBBBBBB"
2018,201801,1,2,49,1,100,6,61,17000,"2","0017000"
2018,201801,2,1,60,1,100,6,61,16000,"1","0016000"
2018,201801,3,1,22,1,100,4,40,46000,"1","0046000"
2018,201801,4,2,21,1,100,6,63,26000,"2","0026000"
2018,201801,1,1,64,1,100,11,114,52000,"1","0052000"
2018,201801,2,2,63,1,100,11,116,90200,"2","0090200"
2018,201801,1,2,25,1,100,8,81,45000,"2","0045000"
2018,201801,1,1,31,2,200,10,101,80000,"1","0080000"
2018,201801,2,2,28,2,200,11,115,0,"2","0000000"
2018,201801,3,1,2,2,200,0,1,9999999,"1","BBBBBBB"
2018,201801,4,2,0,2,200,0,1,9999999,"2","BBBBBBB"
2018,201801,1,2,64,1,100,11,116,22000,"2","0022000"
2018,201801,2,1,93,1,100,6,65,23600,"1","0023600"
2018,201801,1,1,62,1,100,11,114,48500,"1","0048500"
2018,201801,2,2,63,1,100,11,115,1800,"2","0001800"
2018,201801,1,2,59,1,100,8,81,43000,"2","0043000"
2018,201801,2,1,62,1,100,6,63,25000,"1","0025000"
2018,201801,1,2,63,1,100,8,81,23100,"2","0023100"
2018,201801,1,1,30,1,100,11,114,45000,"1","0045000"
2018,201801,2,1,8,1,100,1,15,9999999,"1","BBBBBBB"
2018,201801,3,1,3,1,100,0,2,9999999,"1","BBBBBBB"
2018,201801,1,1,36,1,100,7,71,70000,"1","0070000"
2018,201801,2,2,33,1,100,10,101,35000,"2","0035000"
2018,201801,3,2,0,1,100,0,1,9999999,"2","BBBBBBB"
2018,201801,4,2,0,1,100,0,1,9999999,"2","BBBBBBB"
2018,201801,1,1,28,2,200,6,63,40000,"1","0040000"
2018,201801,2,2,55,2,200,7,71,990,"2","0000990"
2018,201801,1,1,79,1,100,6,61,22800,"1","0022800"
2018,201801,2,2,68,1,100,6,64,2900,"2","0002900"
2018,201801,1,2,77,1,100,10,101,14000,"2","0014000"
2018,201801,2,1,78,1,100,10,101,433000,"1","0433000"
2018,201801,1,2,56,1,100,4,40,10000,"2","0010000"
2018,201801,2,1,55,1,100,6,64,14000,"1","0014000"
2018,201801,1,1,53,1,100,2,23,40000,"1","0040000"
2018,201801,2,2,39,1,100,2,23,0,"2","0000000"
2018,201801,3,2,20,1,100,6,63,0,"2","0000000"
2018,201801,4,2,17,1,100,6,63,0,"2","0000000"
2018,201801,1,2,28,2,200,6,63,20000,"2","0020000"
2018,201801,1,2,60,1,100,6,63,13800,"2","0013800"
